i r tft rl num fbm tom
233.0 0.0000 0.0000 0.0000 0.0000 0.4887 0.5113
234.0 0.0000 0.0000 0.0000 0.0000 0.4886 0.5114
235.0 0.0000 0.0000 0.0000 0.0000 0.4886 0.5114
236.0 0.0000 0.0000 0.0000 0.0000 0.4885 0.5115
237.0 0.0000 0.0000 0.0000 0.0000 0.4885 0.5115
238.0 0.0000 0.0000 0.0000 0.0000 0.4884 0.5116
239.0 0.0000 0.0000 0.0000 0.0000 0.4883 0.5117
240.0 0.0000 0.0000 0.0000 0.0000 0.4883 0.5117
241.0 0.0000 0.0000 0.0000 0.0000 0.4882 0.5118
242.0 0.0000 0.0000 0.0000 0.0000 0.4882 0.5118
243.0 0.0000 0.0000 0.0000 0.0000 0.4881 0.5119
244.0 0.0000 0.0000 0.0000 0.0000 0.4881 0.5119
245.0 0.0000 0.0000 0.0000 0.0000 0.4880 0.5120
246.0 0.0000 0.0000 0.0000 0.0000 0.4880 0.5120
247.0 0.0000 0.0000 0.0000 0.0000 0.4879 0.5121
248.0 0.0000 0.0000 0.0000 0.0000 0.4879 0.5121
249.0 0.0000 0.0000 0.0000 0.0000 0.4878 0.5122
